BV9a2_age,BV9a2_dep
17.61157934,4.75098771
17.68157934,2.760493012
17.75157934,1.988692614
17.82157934,1.256010896
17.89157934,0.982667363
17.96157934,0.900287446
18.03157934,0.849146138
18.10157934,0.812681906
18.17157934,0.787386631
18.24157934,0.770213919
18.31157934,0.760532356
18.38157934,0.757855902
18.45157934,0.76214301
18.52157934,0.773114247
18.59157934,0.791442071
18.66157934,0.81740605
18.73157934,0.852641461
18.80157934,0.901165099
18.87157934,0.966924338
18.94157934,1.056774424
19.01157934,1.168009142
19.08157934,1.235598689
19.15157934,1.281046792
19.22157934,1.320159461
19.29157934,1.353707521
19.36157934,1.380807384
19.43157934,1.399134896
19.50157934,1.4040739
19.57157934,1.391068102
19.64157934,1.352325441
19.71157934,1.288645857
19.78157934,1.259189365
19.85157934,1.239087985
19.92157934,1.220546961
19.99157934,1.202043584
20.06157934,1.1834995
20.13157934,1.165035132
20.20157934,1.146633961
20.27157934,1.128570334
20.34157934,1.112267323
20.41157934,1.098178594
20.48157934,1.094889531
20.55157934,1.110766337
20.62157934,1.152327386
20.69157934,1.251273005
20.76157934,1.468866192
20.83157934,1.727908518
20.90157934,1.909586351
20.97157934,2.05150102
21.04157934,2.171851881
21.11157934,2.275637187
21.18157934,2.367852108
21.25157934,2.441578828
21.32157934,2.474547773
21.39157934,2.43001128
21.46157934,2.23886693
21.53157934,1.988990761
21.60157934,1.801462697
21.67157934,1.647951057
21.74157934,1.507292476
21.81157934,1.376923319
21.88157934,1.249188308
21.95157934,1.128573107
22.02157934,1.02348591
22.09157934,0.938109725
22.16157934,0.880200802
22.23157934,0.839289733
22.30157934,0.813720911
22.37157934,0.793748079
22.44157934,0.78131767
22.51157934,0.774661961
22.58157934,0.773637392
22.65157934,0.775626639
22.72157934,0.781241492
22.79157934,0.797076036
22.86157934,0.836685914
22.93157934,0.886305099
23.00157934,0.93621563
23.07157934,0.986164364
23.14157934,1.035894948
23.21157934,1.085502445
23.28157934,1.134110248
23.35157934,1.180584082
23.42157934,1.222524036
23.49157934,1.253199973
23.56157934,1.260296749
23.63157934,1.26704433
23.70157934,1.285656963
23.77157934,1.306239903
23.84157934,1.327129712
23.91157934,1.3481659
23.98157934,1.369354126
24.05157934,1.391295457
24.12157934,1.416722635
24.19157934,1.518026141
