BV9a2a_age,BV9a2a_dep
23.74421557,5.369346916
23.77421557,2.791912504
23.80421557,1.328594829
23.83421557,0.846024408
23.86421557,0.760743377
23.89421557,0.736941354
23.92421557,0.727909501
23.95421557,0.723557485
23.98421557,0.72108801
24.01421557,0.719937961
24.04421557,0.7195454
24.07421557,0.719550546
24.10421557,0.719383946
24.13421557,0.719229156
24.16421557,0.719077294
24.19421557,0.719578952
24.22421557,0.719637754
24.25421557,0.720296028
24.28421557,0.720644979
24.31421557,0.721219282
24.34421557,0.722436655
24.37421557,0.724201971
24.40421557,0.726338751
24.43421557,0.729461265
24.46421557,0.735276052
24.49421557,0.739351364
24.52421557,0.745234473
24.55421557,0.752733847
24.58421557,0.762258802
24.61421557,0.773889427
24.64421557,0.786819945
24.67421557,0.80100401
24.70421557,0.822194918
24.73421557,0.845341923
24.76421557,0.872322332
24.79421557,0.909003759
24.82421557,0.95666209
24.85421557,1.013574053
24.88421557,1.082281888
24.91421557,1.16675648
24.94421557,1.271195512
24.97421557,1.390071054
25.00421557,1.519281994
25.03421557,1.638454036
25.06421557,1.744003188
25.09421557,1.828029233
25.12421557,1.885951083
25.15421557,1.924838109
25.18421557,1.940632116
25.21421557,1.931601191
25.24421557,1.896796801
25.27421557,1.842278848
25.30421557,1.768294089
25.33421557,1.698096023
25.36421557,1.63518058
25.39421557,1.584755593
25.42421557,1.547915033
25.45421557,1.522565945
25.48421557,1.506282346
25.51421557,1.500085371
25.54421557,1.500917099
25.57421557,1.507084558
25.60421557,1.518537684
25.63421557,1.539434201
25.66421557,1.565477826
25.69421557,1.595898091
25.72421557,1.634243863
25.75421557,1.67593692
25.78421557,1.723943724
25.81421557,1.775053723
25.84421557,1.820912861
25.87421557,1.867040071
25.90421557,1.908330592
25.93421557,1.922040222
25.96421557,1.915812603
25.99421557,1.895375897
26.02421557,1.856937911
26.05421557,1.798192646
26.08421557,1.730024676
26.11421557,1.648993999
26.14421557,1.568784515
26.17421557,1.485924367
26.20421557,1.401080774
26.23421557,1.336874624
26.26421557,1.287741575
26.29421557,1.248973095
26.32421557,1.219806429
26.35421557,1.203195512
26.38421557,1.190512169
26.41421557,1.184284965
26.44421557,1.179632734
26.47421557,1.175194601
26.50421557,1.174390272
26.53421557,1.17453751
26.56421557,1.174090535
26.59421557,1.173651338
26.62421557,1.17378865
26.65421557,1.174160717
26.68421557,1.174516033
26.71421557,1.174735343
26.74421557,1.174622998
