BV8a_age,BV8a_dep
17.98750782,4.096707451
18.02750782,3.529034024
18.06750782,3.168417375
18.10750782,2.935421669
18.14750782,2.777881886
18.18750782,2.676904536
18.22750782,2.606316798
18.26750782,2.548239598
18.30750782,2.508659637
18.34750782,2.473977465
18.38750782,2.455998626
18.42750782,2.437026949
18.46750782,2.438525278
18.50750782,2.438377137
18.54750782,2.440121185
18.58750782,2.447162772
18.62750782,2.46290732
18.66750782,2.486550744
18.70750782,2.517054621
18.74750782,2.54883877
18.78750782,2.58618781
18.82750782,2.642627995
18.86750782,2.708963257
18.90750782,2.799057767
18.94750782,2.917536938
18.98750782,3.080026142
19.02750782,3.277527627
19.06750782,3.558445692
19.10750782,3.905612153
19.14750782,4.27749863
19.18750782,4.512739215
19.22750782,4.603098217
19.26750782,4.597002798
19.30750782,4.530478989
19.34750782,4.408365547
19.38750782,4.224999511
19.42750782,3.986273701
19.46750782,3.658203251
19.50750782,3.246440979
19.54750782,2.802924742
19.58750782,2.484598101
19.62750782,2.295645119
19.66750782,2.179547461
19.70750782,2.099597156
19.74750782,2.046788713
19.78750782,2.004909882
19.82750782,1.970222773
19.86750782,1.944231845
19.90750782,1.92663315
19.94750782,1.914459856
19.98750782,1.9056384
20.02750782,1.901015373
20.06750782,1.907615068
20.10750782,1.91491339
20.14750782,1.92691815
20.18750782,1.950763931
20.22750782,1.988031869
20.26750782,2.023088705
20.30750782,2.070011065
20.34750782,2.131414808
20.38750782,2.205670044
20.42750782,2.295861645
20.46750782,2.407074997
20.50750782,2.541971037
20.54750782,2.709569933
20.58750782,2.900308314
20.62750782,3.116957833
20.66750782,3.410448018
20.70750782,3.747733839
20.74750782,4.132894654
20.78750782,4.579075937
20.82750782,5.056067322
20.86750782,5.499544642
20.90750782,5.857729652
20.94750782,6.092832782
20.98750782,6.279591609
21.02750782,6.397498221
21.06750782,6.42719508
21.10750782,6.385624299
21.14750782,6.275787885
21.18750782,6.087744814
21.22750782,5.863052688
21.26750782,5.636768769
21.30750782,5.486754966
21.34750782,5.409603301
21.38750782,5.369940409
21.42750782,5.380202455
21.46750782,5.422256087
21.50750782,5.509164287
21.54750782,5.654727837
21.58750782,5.873237872
21.62750782,6.344349093
21.66750782,7.239209745
