BV11a_age,BV11a_dep
21.66415152,3.348408182
21.68415152,3.358789685
21.70415152,3.363484608
21.72415152,3.388845782
21.74415152,3.367217405
21.76415152,3.380975761
21.78415152,3.403597053
21.80415152,3.409532637
21.82415152,3.476873736
21.84415152,3.470501529
21.86415152,3.48693128
21.88415152,3.503753429
21.90415152,3.525567782
21.92415152,3.555279951
21.94415152,3.563899114
21.96415152,3.614099441
21.98415152,3.629416979
22.00415152,3.649156698
22.02415152,3.675101214
22.04415152,3.655511229
22.06415152,3.635827065
22.08415152,3.584037817
22.10415152,3.590521856
22.12415152,3.567062588
22.14415152,3.610976991
22.16415152,3.578997261
22.18415152,3.625518265
22.20415152,3.620416367
22.22415152,3.625749894
22.24415152,3.631774734
22.26415152,3.639801882
22.28415152,3.662760867
22.30415152,3.613552143
22.32415152,3.643245131
22.34415152,3.651591312
22.36415152,3.624784534
22.38415152,3.61314296
22.40415152,3.635756309
22.42415152,3.68164517
22.44415152,3.695821953
22.46415152,3.688942112
22.48415152,3.748725086
22.50415152,3.739856904
22.52415152,3.712148266
22.54415152,3.712720414
22.56415152,3.75159363
22.58415152,3.709302213
22.60415152,3.681059539
22.62415152,3.612013133
22.64415152,3.624571851
22.66415152,3.618454089
22.68415152,3.566652785
22.70415152,3.57418044
22.72415152,3.571746469
22.74415152,3.54717845
22.76415152,3.543877916
22.78415152,3.510344323
22.80415152,3.504802567
22.82415152,3.515087005
22.84415152,3.459124289
22.86415152,3.429714747
22.88415152,3.447139729
22.90415152,3.419599015
22.92415152,3.426603963
22.94415152,3.427726341
22.96415152,3.432616341
22.98415152,3.441853965
23.00415152,3.413569843
23.02415152,3.410524798
23.04415152,3.423665837
23.06415152,3.423619056
23.08415152,3.426464493
23.10415152,3.431165045
23.12415152,3.390239279
23.14415152,3.392788259
23.16415152,3.362395805
23.18415152,3.331616996
23.20415152,3.34651851
23.22415152,3.322205123
23.24415152,3.312626146
23.26415152,3.278656409
23.28415152,3.247088402
